Airfoil data for AeroDyn v13
Generated from XFOIL (Re=149281.19351244916)
1
0
13.5
0
0
0
-2.98
8.97761
1.0039
-0.3607
-6.0
0.0138
    -180.0      0.0000      0.0000
    -10.00     -0.3105      0.1135
     -9.00     -0.3095      0.1037
     -8.00     -0.3189      0.0946
     -7.00     -0.3459      0.0866
     -6.00     -0.3989      0.0797
     -5.00     -0.3828      0.0658
     -4.00     -0.2538      0.0357
     -2.00      0.0042      0.0178
     -1.00      0.2065      0.0134
      0.00      0.3235      0.0129
      1.00      0.4705      0.0116
      2.00      0.5812      0.0109
      3.00      0.6861      0.0113
      4.00      0.7868      0.0122
      5.00      0.8832      0.0135
      6.00      0.9743      0.0153
      7.00      1.0579      0.0176
      8.00      1.1167      0.0194
      9.00      1.1241      0.0249
     10.00      1.1269      0.0319
     11.00      1.1368      0.0398
     12.00      1.1057      0.0518
     13.00      1.0423      0.0700
     14.00      0.9614      0.0963
     16.00      0.8630      0.1619
     17.00      0.8729      0.1860
     18.00      0.8764      0.2194
     19.00      0.8818      0.2742
     180.0      0.0000      0.0000
