Airfoil data for AeroDyn v13
Generated from XFOIL (Re=149281.19351244916)
1
0
13.5
0
0
0
-2.98
8.97761
1.0039
-0.3607
-6.0
0.0138
    -180.0      0.0000      0.0000
    -10.00     -0.3952      0.1078
     -9.00     -0.3854      0.0973
     -8.00     -0.3823      0.0866
     -7.00     -0.3941      0.0770
     -5.00     -0.3982      0.0698
     -4.00     -0.4156      0.0467
     -3.00     -0.3685      0.0373
     -2.00     -0.1967      0.0193
     -1.00     -0.0201      0.0157
      1.00      0.3533      0.0111
      2.00      0.4436      0.0097
      3.00      0.5100      0.0139
      4.00      0.6097      0.0153
      5.00      0.7011      0.0191
      7.00      0.8108      0.0489
     10.00      0.6354      0.1147
     11.00      0.6393      0.1329
     12.00      0.6515      0.1491
     13.00      0.6707      0.1569
     14.00      0.6832      0.1583
     15.00      0.7187      0.1709
     180.0      0.0000      0.0000
