Airfoil data for AeroDyn v13
Generated from XFOIL (Re=149281.19351244916)
1
0
13.5
0
0
0
-2.98
8.97761
1.0039
-0.3607
-6.0
0.0138
    -180.0      0.0000      0.0000
    -10.00     -0.2134      0.1239
     -9.00     -0.1750      0.1153
     -5.00     -0.0668      0.0404
     -4.00      0.0090      0.0244
     -3.00      0.1131      0.0203
     -2.00      0.2157      0.0166
     -1.00      0.3234      0.0145
      0.00      0.3928      0.0146
      1.00      0.5433      0.0141
      2.00      0.6512      0.0151
      3.00      0.7539      0.0151
      4.00      0.8552      0.0170
      5.00      0.9531      0.0172
      6.00      1.0461      0.0195
      7.00      1.1307      0.0203
      8.00      1.2061      0.0214
      9.00      1.2511      0.0259
     10.00      1.2610      0.0289
     11.00      1.2522      0.0340
     12.00      1.3035      0.0356
     13.00      1.0968      0.0636
     14.00      0.8763      0.1130
     15.00      0.8458      0.1336
     16.00      0.8942      0.1368
     17.00      0.9097      0.1505
     18.00      0.9019      0.1745
     19.00      0.9009      0.1973
     20.00      0.8924      0.2232
     180.0      0.0000      0.0000
     
