Airfoil data for AeroDyn v13
Generated from XFOIL (Re=149281.19351244916)
1
0
13.5
0
0
0
-2.98
8.97761
1.0039
-0.3607
-6.0
0.0138
      -180      0.0000      0.0000
    -10.00     -0.4038      0.1146
      0.00      0.1668      0.0130
      1.00      0.3814      0.0115
      2.00      0.4952      0.0104
      3.00      0.5332      0.0141
      4.00      0.6327      0.0151
      5.00      0.7306      0.0164
      6.00      0.8171      0.0190
      7.00      0.8984      0.0272
      8.00      0.9254      0.0412
      9.00      0.8700      0.0551
     10.00      0.7785      0.0698
     11.00      0.6976      0.0984
     12.00      0.6679      0.1326
     13.00      0.6831      0.1385
     14.00      0.6989      0.1520
     15.00      0.7255      0.1661
     16.00      0.7684      0.1824
     180.0      0.0000      0.0000
