Airfoil data for AeroDyn v13
Generated from XFOIL (Re=50000)
1
0
13.5
0
0
0
-2.98
8.97761
1.0039
-0.3607
-6.0
0.0138
     -4.00     -0.4068      0.0311
     -3.00     -0.3110      0.0237
     -2.00     -0.2505      0.0215
     -1.00     -0.1380      0.0222
      0.00     -0.0323      0.0249
      1.00      0.1350      0.0280
      2.00      0.2983      0.0317
      3.00      0.4689      0.0336
      4.00      0.5555      0.0358
      5.00      0.6776      0.0361
      6.00      0.7824      0.0379
      8.00      0.9671      0.0357
      9.00      1.0155      0.0470
     10.00      0.9658      0.0631
