Airfoil data for AeroDyn v13
Generated from xfoil CSV (Re=50000)
1
0
13.5
0
0
0
-2.98
8.97761
1.0039
-0.3607
-6.0
0.0138
    -180.0      0.0000      0.0000
    -15.00     -0.5235      0.1785
    -14.00     -0.4891      0.1647
    -13.00     -0.4681      0.1558
    -12.00     -0.4772      0.1646
    -11.00     -0.4636      0.1539
    -10.00     -0.4743      0.1256
     -9.00     -0.4474      0.1043
     -8.00     -0.4583      0.0824
     -7.00     -0.5112      0.0659
     -6.00     -0.5059      0.0563
     -5.00     -0.4805      0.0406
     -4.00     -0.4068      0.0311
     -3.00     -0.3110      0.0237
     -2.00     -0.2505      0.0215
     -1.00     -0.1380      0.0222
     -0.00     -0.0323      0.0249
      1.00      0.1350      0.0280
      2.00      0.2983      0.0317
      3.00      0.4689      0.0336
      4.00      0.5555      0.0358
      5.00      0.6776      0.0361
      6.00      0.7824      0.0379
      7.00      0.9320      0.0282
      8.00      0.9671      0.0357
      9.00      1.0155      0.0470
     10.00      0.9658      0.0631
     11.00      0.8307      0.0950
     12.00      0.7739      0.1262
     13.00      0.7249      0.1545
     14.00      0.7713      0.2016
     15.00      0.7865      0.2180
     16.00      0.7942      0.2243
     17.00      0.8380      0.2285
     18.00      0.8276      0.2706
     19.00      0.8345      0.2877
     20.00      0.8207      0.2923
     21.00      0.7803      0.2876
     22.00      0.7432      0.2868
     23.00      0.7293      0.2900
     24.00      0.7270      0.2955
     25.00      0.7464      0.3124
     26.00      0.7603      0.3584
     27.00      0.7328      0.3459
     28.00      0.7037      0.3249
     29.00      0.6973      0.3209
     30.00      0.6972      0.3262
     180.0      0.0000      0.0000
