Airfoil data for AeroDyn v13
Generated from XFOIL (Re=50000)
1
0
13.5
0
0
0
-2.98
8.97761
1.0039
-0.3607
-6.0
0.0138
     -5.00     -0.3895      0.0869
     -3.00     -0.2629      0.0529
     -2.00     -0.1453      0.0402
     -1.00     -0.0320      0.0314
      0.00      0.1120      0.0296
      1.00      0.2072      0.0331
      2.00      0.2767      0.0364
      3.00      0.3819      0.0413
      4.00      0.4443      0.0457
      5.00      0.5306      0.0503
      6.00      0.5951      0.0564
      7.00      0.7161      0.0606
      8.00      0.8295      0.0605
      9.00      1.0887      0.0333
     10.00      1.1000      0.0498
