NACA0089
1.000000 0.009345
0.993181 0.016412
0.972909 0.037073
0.939737 0.069810
0.894570 0.112371
0.838641 0.162065
0.773474 0.215992
0.700848 0.271128
0.622743 0.324278
0.541290 0.371985
0.458710 0.410522
0.377257 0.436070
0.299152 0.445127
0.226526 0.435041
0.161359 0.404519
0.105430 0.353915
0.060263 0.285136
0.027091 0.201150
0.006819 0.105208
0.000000 0.000000
0.006819 -0.105208
0.027091 -0.201150
0.060263 -0.285136
0.105430 -0.353915
0.161359 -0.404519
0.226526 -0.435041
0.299152 -0.445127
0.377257 -0.436070
0.458710 -0.410522
0.541290 -0.371985
0.622743 -0.324278
0.700848 -0.271128
0.773474 -0.215992
0.838641 -0.162065
0.894570 -0.112371
0.939737 -0.069810
0.972909 -0.037073
0.993181 -0.016412
1.000000 -0.009345
